8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44825	0.2515	-0.282086	0.154572	8.44818	0.251553	8.45	0.25	-3.00027	0
8.48553	0.282179	-0.0256805	0.49563	8.56759	0.241943	8.45	0.25	0	0
8.47443	0.256571	-0.0116289	0.0424409	8.45582	0.253997	8.45	0.25	0	0
8.38475	0.271207	-1.23179	-0.0950926	8.42544	0.254042	8.35	0.25	-1.81979	0
8.29859	0.254066	-1.23114	-0.155495	8.23962	0.24916	8.25	0.25	-1.81978	0
8.07464	0.401994	-2.84451	0.491916	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.91989	0.248979	-2.82615	-0.209595	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.74442	0.246814	-3.06057	-0.185523	7.61269	0.155818	7.7	0.15	-2.99982	0
7.58507	0.193605	-3.05773	-0.323083	7.54016	0.159641	7.55	0.15	-2.99982	0
7.48886	0.0793418	-2.34042	-0.632671	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.35804	0.0395929	-2.34054	-0.645137	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.20006	0.0946251	-2.62118	-0.394864	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.05616	0.0153522	-2.62312	-0.520286	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.9627	-0.0790074	-2.03275	-0.689871	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.85075	-0.175635	-2.03594	-0.802065	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.74475	-0.215678	-2.04535	-0.80081	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.64132	-0.331458	-2.0546	-0.931916	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.60744	-0.560421	-1.38797	-1.34202	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.53937	-0.634966	-1.38885	-1.35377	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.50276	-0.894471	-0.920243	-1.75803	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.45134	-1.00978	-0.925451	-1.78553	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.3744	-0.979523	-1.25204	-1.48794	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.29654	-1.11603	-1.27596	-1.56419	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.3633	-1.53025	0.205638	-2.46478	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.37414	-1.66385	0.206172	-2.46237	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.35571	-1.58305	-0.285518	-1.9285	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.3227	-1.75085	-0.329726	-2.02095	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.36713	-2.00901	0.417182	-2.55349	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.37983	-2.16296	0.39984	-2.5875	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.38904	-2.25828	0.212434	-2.41918	6.32593	-2.40018	6.35	-2.4	0	-2.72613
6.38744	-2.43093	0.183608	-2.46921	6.34927	-2.55175	6.35	-2.55	0	-2.72611
6.41909	-2.67063	0.561121	-2.82753	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
6.44741	-2.83111	0.556735	-2.83406	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
6.46561	-2.9498	0.428252	-2.72063	6.46536	-3.00452	6.45	-3	0	-2.99754
6.47853	-3.1031	0.412624	-2.74237	6.44119	-3.14955	6.45	-3.15	0	-2.99754
6.51082	-3.33128	0.672253	-3.03232	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
6.55051	-3.49014	0.678618	-3.02305	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
6.59338	-3.74063	0.943612	-3.34705	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
6.67102	-3.88009	0.989417	-3.29078	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
6.7135	-4.03718	0.833482	-3.14037	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
6.78365	-4.17079	0.875994	-3.09104	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
6.81959	-4.33786	0.794306	-3.03302	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
6.887	-4.46668	0.835692	-2.9854	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
6.90647	-4.58747	0.526965	-2.69027	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
6.96567	-4.6903	0.577874	-2.63315	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
6.99879	-4.86528	0.681605	-2.76374	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
7.0656	-4.97705	0.728942	-2.71153	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
7.12656	-5.2067	1.09794	-3.12932	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
7.2243	-5.32663	1.15871	-3.06225	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
7.26808	-5.47667	1.00072	-2.91583	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
7.35847	-5.59143	1.05667	-2.85635	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
7.40854	-5.75729	1.02471	-2.8503	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
7.51481	-5.85157	1.10261	-2.76853	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
7.55804	-6.00031	1.00951	-2.70032	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
7.65046	-6.10254	1.06696	-2.63961	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
7.73569	-6.31447	1.52232	-3.13633	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
